Skin Type,Usage Periode,Review,Rating
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Iseng banget beli bundle ini sama serum vit. c nya. Duo combo yang bikin kulit gue langsung terlihat healthy and plumpy dipagi hari. 2 pumps before moisturizer/night cream sebelum bobo dan niscaya kulit lu langsung improve bgt. Di gue sengaruh itu wey. Jujur i'm not a fan of their packaging karena suka bocor-bocor gitu di mulut pumpnya, but the product really goooddd. Good job Originote!",4
"Normal, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"retinol nya bagus banget buat pemula, kalo di aku lumayan works bisa ngecilin pori pori, ngilangin bekas jerawat juga dan bikin kulit auto glowing, recommend banget pokonyaa kalian wajib beli gabakalan nyesal. harganya juga sangat affordable",5
"Combination, Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Akhirnyaa ketemu toner dan serum yg pas buat muka aku, apalgi serum retinol nya ini bener bener bikin muka aku lebih cerah poriporiny jd mengecil sama ngurangin jerawat juga , suka bgtt sm originoteeeeð¥°",5
"Combination, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Shopee,"Serum retinol pertama yang aku beli, teksturnya sedikit thick, engga berwarna, ada sedikit wangi tapi engga ganggu. Pake ini cocok ajaa engga nimbul kemerahan / breakout, pemakaian rutin sebulan udah keliatan hasilnya di kulitku lebih cerah dan jerawat jarang timbul. Worth to buy!!",5
"Combination, Medium, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Bener-benerrr game changer!! Kalo muka lagi breakout trs pake ini besok paginya pasti langsung membaik! Jerawat cepet banget kempesnya, muka bener-bener berasa halusss. Cinta banget lah pokoknya sama serum retinol ini. Ringan dosisnya, cocok buat pemula",5
",30 - 34",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Ketemu retinol yang ramah di kantong tuh bahagia bangwt sih, walau pun agak lama dan butuh ke sabaran tapi Alhamdulillah membuahkan hasil, belang di wajah agak mudar setelah make retinol originote, jadi gak malu lg keluar rumah dan gak takut lagi ke pantai",5
"Normal, Medium, Neutral",Usage Period : Less than 1 weekPurchase Point : FD Flash Sale,"Penemuan terbesar tahun ini adalah retinol dari The originote, selain harganya yg affordable retinol ini manfaatnya banyak banget, apalagi umur kalian udah diatas 20th wajib banget punya retinol minimal 1 dehh, karena bisa mengurangi kerutan dan garis halus ð",5
"Combination, Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Tiktok Shop,"Ini product retinol pertama aku dan so far SO GOOD!! Been using it since few months ago and up til now. Beneran literally after using this serum kulitku jadi improve banget!! Harganya mnurutku sangat affordable, bisa dibeli offline dan online, dan efek produknya sih kerasa banget di aku. Beberapa efeknya kalau di aku bikin kulit jadi lbh halus, bekas jerawat jadi mudah pudar, dan bantu bikin tampilan pori2 di daerah sekitar hidung lbh kecil juga. Dulu aku sempet salah pake product retinol yg sepertinya lumayan potent dan tricky pemakaiannya, tapi ini retinol user beginner friendly banget si menurutku. Beneran cocok buat yang baru mau pertama kali coba retinol!",5
"Combination, Medium Light, Cool",Usage Period : More than 1 yearPurchase Point : Guardian,"ini  retinol pertama aku yang ampe sekarang aku pake, aku udah habis 3 botol bagus bngt klo dipake pas pagi muka langsung cerah ga berjerawat juga bagus bangett, aku pertama kali pk di umur 19 tahun bener bener belum berani coba retinol lain selain originote",5
"Normal, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,Belum habis sebotol. Awal pakai lumayan muncul bruntusan karena efek kulit yg kaget sama retinol. Tpi seminggu pemakaian bruntusan mulai hilang dan mulai cocok ke wajahku jadi sedikit lebih glowing dari sebelum pakai.,4
"Combination, Medium Light, Warm",Usage Period : 6 months - 1 yearPurchase Point : Watson,"saat itu aku emang lagi nyari retinol + niacinamide serum dan nemulah the originote ini. tbh packagingnya not bad dan teksturnya oke banget dan ga ada reaksi nggak cocok gitu, but sadly it doesn't have any effects di kulit aku. aku beneran ga ngerasa efek apaÂ² entah dari B3 niacinamide nya maupun dari retinolnya, so yeah :))",2
"Normal, Medium Light, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Ini serum retinol pertama yang aku coba.. Dan yesss ternyata cucoook. Ini bagus banget buat yang punya masalah kerutan, kulit kusyam dan kasar. Ini sangat WORTH IT TO BUY banget.Apalagi buat usia 30 up. Retinol itu sangat membantu menyelesaikan masalah kulit yang kita punya ð¤ð»",5
"Combination, Medium, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Tiktok Shop,"My First Retinol Serum and well i love it.... Beginner Friendly, pertama kali coba di malam hari kaan paginya langsung berasa glowing trus kek lebih berasa halus juga mukaku, aku pake ini next day after exfo bisa dibilang cyclingnya. best combo klo klean pake sama serum niacinamide. But sekarang for my skin gk terlalu ngaruh yaak maybe karna kulitku dah jadi badak?! But Overall buat klean yg newbie BISA BGT COBA INI karna ini RECOMENDEEED!!!!!",4
"Oily, Medium, Warm",Usage Period : 1 week - 1 monthPurchase Point : Traditional Market,"Mau coba serum retinol untuk mencegah kerutan. Serum ini ga bikin breakout di wajahku. Tapi sejauh ini seperti belum ada efek apa2 sih. Mungkin butuh waktu yang lumayan lama, karena tidak ada yang instan. Di wajah ga kerasa cekat cekit. Baunya juga ga mengganggu.",5
"Oily, Medium Light, Cool",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"Kulitku tipe sangat oily, brjerawat dan sensitif. Sblmnya ga prnh nemu serum yg cocok. Cm bisa pake serum yg mild bgt kyk sensatia. Coba pake ini cocok bgt. Baru pake seminggu bruntusan ilang&kulit terasa lebih cerah dan sehat.",5
"Dry, Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"Awalnya coba ini karena katanya oke untuk pemula coba retinol, tapi setelah dipakai kayak kurang ada efek yang signifikan sih di wajah. Syukurnya gak kasih dampak gaenak, jadi gak buat breakout/apa, tapi gak keliatan juga hasilnya huhu",3
"Oily, Medium Light, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Lazada,"Retinol pertama aku sebagai pemakai pemula retinol. Kandungannya lebih ringan dari retinol merk lain. Tekstur cair mudah meresap juga. Wajah jadi lembab dan lebih halus besoknya, gada iritasi di pemakain pertama. Recomended product buat yang mau pakai retinol pertama kali",4
"Oily, Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"bagus bangettttt serum retinol pertama aku dan dia klo dipake malem besok paginya wajah langsung mulus, jerawat hempas dan kulit jadi cerahan banget! aku pakai seminggu 1x dan kadang 2 minggu 1x. Pakai waktu perlu aja karena takut buat kulit jadi iritasi kalau pakai bahan aktif kebanyakkan. Disesuaikan saja dengan kondisi kulit masing-masing! Disarankan jangan pakai banyak-banyak untuk pemula coba 1x seminggu aja",5
"Normal, Medium Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Aku pertama kali pake retinol karena udh usia 25, dan beneran bagus cocok di ak bikin kulit halus, bisa ngeredain jerawat juga. Harganya yang murah ga nyangka si bisa cocok di ak, masih aman si untuk pemakaian selama ini, mudh2n ga aneh2 deh kedepan nya",5
"Combination, Light, Cool",Usage Period : 6 months - 1 yearPurchase Point : Shopee,Ini salah satu penyelamat kulit aku. Waktu itu kondisinya selalu beruntusan terus. Terus cobain pake 1 minggu 2 kali ehh ternyata ngaruh banget. Beruntusanya ga balik lagi. Dan sampe sekarang aku masih selalu pake. Buat tekstur mayan ringan sih.,4
"Oily, Medium Dark, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"serum retinol yang terjangkau tapi ga bikin breakout, pemakaiannya di 2-3 hari sekali dimalam hari cocok banget buat bikin menyamarkan kerutan halus apalagi kalau disatuin sama moisturizer originote yang retinol juga, bakal jd favorit item",4
"Normal, Medium Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"aku rutin pake retinol satu ini, kek nya ini udah botol ketiga kalinya. so far aman banget. bikin bangun tidur wajah auto glowing. wajib banget pake retinol biar bisa awet muda. dan harganya juga ramah kantong. worth it banget deh tetep setia dengan the originotr",5
"Normal, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Tokopedia,"Pengalaman saya membeli produk tersebut sangat rekomendasi karena teksturnya yang cair, lembut dan harum. Cocok untuk semua jenis kulit dan segala usia mulai dari remaja, dewasa dan usia lanjut. Ayo dibeli segera di toko favorite kalian gaes ð«¶ð»",5
"Oily, Medium, Neutral",Usage Period : Less than 1 weekPurchase Point : XBeauty by Female Daily,"akuu beli ini tahunnn lalu, retinol yang beranii aku cobain soalnya kata org orgg ini salah satu retinol yang ga bikinnn purging. dannn yaa benerr, waktuu di pakee jga gaada rasa cekit cekitt wkwkw. Tpi ini awet bgt soalnya dipake seminggu sekali doang",5
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Salah satu retinol serum yg menurutku boleh dicoba, texturenya watery, ngga ada bau yg menyengat & warnanya bening. So far selama aku pake serum ini, aku ga ngerasa ada efek buruk atau ga cocok. Jadi di kulitku aman aja sih, menyerapnya cepet ngga perlu ditunggu lama. Lumayan mencerahkan karena aku pake serum ini pasti selalu di combo sama niacinamide serum juga, tapi ngga instan ya & ngga cukup satu botol buat keliatan hasilnya. Menurutku ini serum The Originote yg paling worth it dari semua varian serum mereka yg pernah aku coba.",4
"Dry, Medium Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Brand Website,"Sebenernya aku dah beli 3/4 bulan lalu cuma jarang banget di pake so farr buat kulit aku yang dry skin aftrr step skincare n then trying to use originote retinol just make my skin more dry idk why even though im use moisturizer. But ya coz im use for few time, im cannot judge to much",3
"Combination, Medium Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Lazada,Nyobain udah 2 botol gara gara liat di TikTok rame banget tapi pas make selama itu ngerasa yaa over iklan aja gak si huhu Aku ngerasa gak ngaruh apa2 gitu di wajah gak kek klaimnya pas di iklan Biasa aja gitu gak yang bikin gimana2 gak ada perubahan apa2 jg huhu,3
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Tiktok Shop,"Ini adalah retinol pertama yg aku coba, beraniin beli ini krna penasaran bgt sama produknya yg katanya bagus, karena pas kapan hari begitu viral rame bgt. Trus dicobalah beberpa mnggu kayaknya lumayan ke wajah, tapi ga bagus bgt gitu, tapi minimal di kulit wajah aku cocok, dan ga bikin purging ato merah merah. Tapi ya ga begitu cepat bgt bkin mulus bgt gitu..masih mau cari cari produk retinol yg lain..",5
",25 - 29",Usage Period : 1 month - 3 monthsPurchase Point : Guardian,"Pake ini karena belom berani pake retinol-retinol lain tapi enak sih. Ga bikin purging, cenderung ringan, tapi ga begitu bagus juga. Di aku belom berasa perubahan apapun setelah 3 bulan pemakaian 2 kali seminggu. Mungkin masih butuh waktu, idk. Tp overall produk ini cocok buat yang baru mau nyoba retinol.",3
"Dry, Medium, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Official Brand Store,"Retinol yang menurutku cocok banget buat pemula yang baru mau coba coba retinol. Teksturnya cair dan bening gitu, jadi mudah buat diaplikasiin. Produk ini juga ga ada wanginya. Untuk dari segi harga tentunya the originote retinol b3 serum ini bener bener ramah banget dikantong",4
"Combination, Medium Dark, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Brand website,"serum ini harganya murah sih, terus bukan tipe serum yang cair banget tapi rada kentel gitu efek yang aku rasa sih sejauh ini cerahnya aja sih. abis di pake sedikit cekat cekit. dan ga ada bau yang mengganggu menurut aku patut dicoba sih",5
"Combination, Medium Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Tokopedia,"Sejauh ini dengan harga yang terjangjah, retinol dari the originote yang paling ngaruh di muka ku. Dia teksturnya seperti retinol pada umumnya, setelah menyerap gak lengket sama sekali, tapi aku kurang suka wanginya sih, tapi tetep bisa ditolerir. Hasilnya setelah pakai retinol ini tuh muka jadi cerah banget besok paginya, bekas jerawat juga lumayan pudar, muka juga jadi halusss. Super rekomen",5
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Serum retinol yang affordable dari segi harga. Konsistensinya dia ga terlalu cair ga terlalu kentel. Ngga ada aroma yang mengganggu. Menurutku dia masuk ke serum yang gentle soalnya setelah diaplikasiin gaada reaksi cekit2 ataupin efek negatif lain. jadi xoxo aja untuk harga segitu, worth to try",3
"Normal, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"pertama kali pake retinol ini rasanya agak gimana gitu ke muka ada perih perihnya gitu, cuma ya aku b aja paling karna pertama kali pemakaian , san emang sih semingguan lebih gitu kulitku udah kerasa lebih enak rada halus . jadi emang berproses banget pemakaiannya . #THRBeautyLevelBronze",4
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Pertama kali coba retinol ya pake serum ini. Waktu awal awal ku rutinin pake 3 hari sekali tiap malem, ternyata malah bikin beruntusan kecil-kecil yang ada matanya putih gitu. Kupikir mungkin aku salah mix step sebelum dan selanjutnya (toner dan moist). Akhirnya ku stop. Beberapa minggu kemudian aku coba pake lagi dan aku mix pake step skincare yang kandungannya aman. Emang gak bikin beruntusan kaya sebelumnya sih, tapi belum kasih efek yang signifikan di wajah.",3
"Combination, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Pertama kali pakai retinol. Awalnya rada cekat cekit gitu ya. Tapi setelah satu bulan pemakaian, ga cekat cekit lagi. Mungkin saat itu kurang kenceng juga hydrating nya. Yang aku rasain belum yang gimana2 banget, paling kulit muka jadi kencengan dikit dan lebih cerah setelah bangun pagi. Di saat ga pakai, ya kulitku kembali ke semula -_-Atau kurang rajin juga pakainya, aku kurang tau. Soalnya aku pakai seminggu 2x aja.",4
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"dulu udah coba pakai ini tp gak rutin karena sering kelupaan kalo mau tidur, dan skrg pake lagi udh mau ampir sebulan ya cukup mengurangi garis garis halus di dekat area hidung dan mata. hasilnya berproses harus rutiiin bgt baru keliatan, dari harga yg cukup affordable dan hasil yg cukup bagus ini worth to buy sih kalo menurutku",3
"Combination, Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Guardian,"Serum retinol the originote ini bisa untul mencegah penuaan dini, menghilangkan jerawat, kerutan dan warna kulit yang tidak merata. Ini diperuntukkan untuk usia 17 tahun ke atas. Teksturnya cair dan digunakan di malam hari 2 kali seminggu.",5
"Oily, Medium Dark, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"I'm so happy trying this product, omg! untuk kulitku yang sangat rewel milih skincare yang cocok, retinol dari the originote ini ternyata bagus banget di kulit aku. waktu pertama nyoba ini, kebetulan aku punya jerawat batu karena hormon dan beberapa kemerahan akibat breakout, juga belum sempat bersihin sel kulit mati jadi banyak komedo yang bikin tekstur wajahku meh. tapi habis pakai ini, besok paginya rednessku berkurang banget dan wajahku mulus rasanya! teksturnya gel ringan yang gampang menyerap di wajahku. untuk kamu yang baru mau coba produk yang mengandung retinol, produk ini bisa dijadiin pertimbangan sih. saat ini udah 5 kali pakai, seminggu dua kali, dan aku merasa tekstur wajahku membaik dan beberapa bekas jerawat surprisingly memudar.",5
"Normal, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"serius ini retinol murah tapi alhamdulillah ngaruh di kulitku. abis pake ini muka berasa diamplas dan disenterin, mulus dan cerah ð­ sempet dapet compliments juga dari mas pacar dan orang orang terdekat. next mau repurchase lagi tapi masih mau coba serumnya yang lain",5
"Combination, Medium, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Cobain ini karena pengen banget mulai pakai retinol tp yg kadarnya mash rendah untuk penyesuaian dulu. Tapi akhirnya ingin repurchase lagi. Helps a lot, ketika muncul jerawat periode bisa langsung mateng trus after pemakaian 2 mingguan baru berasa muka lbh sehat. Lbh halus juga, yg awal nya bruntusan kecil"" gitu. Ngga ada rasa sakit ketika pemakaian juga",5
"Dry, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Beli ini karna harga affordable untuk kandungan serum retinol dan bisa dibilang cocok. Kalau pakai ini untuk kulit aku normal to dry, harus selang seling smaa kandungan apapun yang melembabkan biar mukanya gak kering krn semept pakai tiga hari berturut-turut eh besoknya muka kering banget. Di aku ga ada efek jerawatan cuma agak kering aja. Teksturnya ringan, gak bikin lengket setelah pemakaian dan cepat meresap. Untuk harga segini aku akan repurchase lagi",4
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : XBeauty by Female Daily,"Emang awalnya pengen coba aja siii pake retinol ini, salah satu korban fyp tiktok wkwkwk. Coba pertama kali sii amann amann aja ye wak setelah beberapa pemakaian berikutnya di kulit ngerasaaa cukup lembab siii tapiii yhaa menurutku ga terlalu memberi pengaruh yang signifikan",4
"Oily, Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Shopee,"Kalau lagi cari serum retinol yang beginner friendly, serum ini bisa banget untuk menjadi salah satu pilihan kalian. Serum ini teksturnya cair banget, jadi gampang banget meresap di kulit dan super ringan. Kulit oily akan suka banget sama serum ini karena tidak membuat kulit terasa berat",4
"Oily, Medium Light, Cool",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"buat pemula yang baru bgt mau nyobain pake retinol ini bisa banget sih karena se ringan itu. nggak ada bau yang gimana2, nggak kerasa perih ataupun cekit2 di kulit. lumayan bisa bikin kulit ngga jerawatan dan ngga komedoan. lumayannn. tp kalo utk yg bener2 butuh retinol ini kurang. dengan harga ga sampe 50k ya ok",4
"Combination, Medium, Neutral",Usage Period : Less than 1 weekPurchase Point : Shopee,"Pengalaman pertama menggunakan produk ini. Terutama retinol. Ini retinol pertama ku. Rasanya tuh muka kerasa banget agak cerahan, terus kenceng juga. Serumnya lumayan encer tapi g yg encer banget gitu. Untuk pemula kayak aku, ga kerasa berat di muka.",4
"Combination, Dark, Warm",Usage Period : Less than 1 weekPurchase Point : XBeauty by Female Daily,pesan dan kesan aku membeli produk the originote di x beauty by female daily. saya kurang mendapatkan perlakuan sakit hati ketika saya membayar dikasir dan di ghibahin sama sikasir. setiap orang tidak bisa menerima perlakuan seperti itu,5
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,serumnya gentle banget buat skin yang acne prone masih okee bangettt. boleh banget cobain buat yang mau pertama coba retinol. karena masih oke buat kulit yang sensitif dan acne prone. dan juga tekstur serumnya ga berat buat muka dan cair banget.,4
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Aku pake serum ini kurang lebih 2 bulan, dan hasilnya bagus banget, skin tekstur ku membaik, kulit jadi bercahaya, ga gampang breakout apalagi di kombinasi sama serum vit c nya mantoel deh. Harga nya juga murah banget ya untuk sekelas serum",4
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,retinol ringan untuk pemula. mudah menyerap. ngga ada bau aneh. ngga lengket. cocok banget dipakai anak muda dan pemula. kemasannya travel friendly. ada lock pumpnya jadi ngga takut kepencet ato keluar tanpa sepetahuan kita. harga luv banget under 50,4
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Sociolla,pakai ini krna banyak yg blg produk bagus tp ramah di kantong n bener setelah aku coba bekas2 jerawat di muka ak jadi perlahan memudar terus di aku juga ada dikit efek mencerahkan sik will repurchase kalo abis hehe...oiaa untuk pemula jangan lupa untuk pake moisturizer sebelum n sesudah pakai retinol yah buat mengurangi resiko iritasi,5
"Oily, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : PR Package,Bagus banget aku udah beberapa kali pake .. dan ini nenangin jerawat dan meredakan jerawat... cocok banget buat kalian yang punya kulit acne prone... kalo masih awal pake aku saranin coba dulu di di leher atau tangan... soalnya kalo punya kulit sensitif bisa ga cocok,5
"Oily, Medium Light, Neutral",Usage Period : More than 1 yearPurchase Point : Shopee,retinol ini pemula friendly bgt. pas abis dipake gabikin cekit2 atau breakout gitu. teksturnya gel bening yg agak padet. so far di aku abis pake ini besokannya tuh komedo berasa agak berkurang gituu. gada bau yang mengganggu juga kalo menurut aku. repurchase? ya!,5
"Oily, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Lazada,"Buat pemula yang mau coba retinol ini recommended sih. Tapi hasilnya butuh proses juga dan lumayan lama ya, sekitar 1 bulanan lah. Jadi kalo pake ini kudu rajin. Bisa dipake tiap hari juga karena tipe gentle yang ga bikin celit cekit. Bisa di combo sama serum lain kaya niacin",4
"Combination, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"lumayan yah pakai inið dengan harga yg terjangkau bisa untuk sapa pun pakai tapi jangan di campur sama apapun ya pakainya , gak perih berarti cocok di saya, awet bisa sampai 3 bulanan, produk lokal harga bersahabat kualitas no 1 ððð¥ð¥ð¥ð¥",5
"Combination, Medium Dark, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"aku akui dengan harga segitu dia best banget, aku pernah rutini pake diaa dengan jadwal yg aku buat, selama sebulan aja udh ada hasil, muka makin bersih dan makin kenceng, tapi efeknya ga terlalu signifikan, cmn kalo rutin dia bakal keliatan hasilnya, dan harus di combain sama produk lainnya juga ya",5
",25 - 29",Usage Period : Less than 1 weekPurchase Point : Shopee,"aku pemula dan pgn mulai pake retinol jd beli ini krn keracunan tiktok, awal pke emg rada cekit cekit di wajah dan muncul breakout kecil gt, tp stlh mau 1bulan pake efek ny berasa di aku. apalagi wktu prnh ad jerawat batu gede mendem di bagian hidung 2 titik, setelah pke ini jerawat ny perlahan memudar sndirið¥¹ aku combo sm moisturizer ny jg. Dan tiap pagi stlh pke retinol aku pakein vit c dr the originote. Jujur, sbnrny g expect lebih sih krn hrg ny affordable, tp worth it buat pemula kek aku. Klo mau repurchase lg kek ny belum dlu aku mau cb retinol yg lain yg lebih nampol hehe",5
"Combination, Medium, Cool",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"teksturnya gel putih bening, ga ngasih bau menyengat dan agak lama nyerap di kulit. sesuai harga, ga ngasih efek negatif ke kulitku, tapi gak ngasih efek yang bagus juga. after pake paginya bikin plumpy dan glowing sih, tapi ga buat jangka panjang. karena claimnya menghaluskan kerutan dan menghilangkan garis garis halus ini kurang nampol",3
"Combination, Medium Light, Cool",Usage Period : 3 months - 6 monthsPurchase Point : Traditional market,Beli karna viral di tiktok meskipun telat cobainnya. Karna ini retinol yang cukup ringan setelah pemakaian 2bulan menurut aku hasilnya cukup terlihat di kulit aku yg belum sama sekali tersentuh retinol. Sayang dia bikin kulit aku muncul jerawat. Tapi tetep aku pakek dan makin kesini jerawat yang muncul berkurang. Kalau repurchase lagi sih iya mungkin aku bakal bisa simpulin hasilnya di botol ke 2 nanti sih.,4
"Combination, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"baru pake 2 bulanan seminggu cuma 1x ajaa krn blm 20tahun dan ga membutuhkan bgt, aku wajib bgt pake toner sblm pake inii, slth di apply kaya ada cekit dan gatal"" gituu, tapi besok paginya dibilas kulit jd licin baguss, meredakan jerawat yg baru"" tapi msh mau cobaa teruss, aku ngerasanya sih fine"" aja",3
"Normal, Medium Light, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"Sudah habis 1 botol pemakaian 2x seminggu menurutku tidak ada pengaruh yang gimana gimana di kulitku, yang paling kelihatan mungkin kulit jadi lebih halus dan lebih kemcang si untuk efek lain ga terasa di aku but overall ok untuk pemula yang mau coba pakai retinol",3
"Combination, Medium Dark, Neutral",Usage Period : Less than 1 weekPurchase Point : Shopee,"Originote Retinol B3 Serum ini beneran bikin wajah jadi kayak baru bangun tidur setiap hari! Ada retinol dan vitamin B3 di dalamnya, bikin kulit jadi lebih halus, kurang garis halus, dan warna kulit juga lebih merata. Suka banget karena ringan dan cepet meresap. Tapi ya, hasilnya bisa beda-beda, jadi mending coba dulu patch-test sebelum full on. Bagi yang cari serum retinol, ini pilihan yang menarik nih!",4
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Lazada,"Jadi ini retinol kedua yang aku coba karena katanya lebih ringan. Aku udah pake ini 3 bulan lebih, seminggu sekali dan tiap pake paginya tuh glowing parah, tapi nggak becek dan kilang minyak. Beneran glowing yang kayak sehat gitu, jerawat bisa kadang nggak jadi, cepet kering, bekas jerawat hilang.",5
"Oily, Light, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Sociolla,"buat aku yang pertama kali cobain retinol, produk ini bagus banget sii ga bikin kulit kering dan ga bikin jadi sensitif jugaa tapi ingett pemakaian produk ini tetep harus dibarengi dengan moisturizer yaa next pengen coba retinol dari brand lain sii biar lebih exploreð",5
"Combination, Medium Light, Neutral",Usage Period : 1 week - 1 monthPurchase Point : Tokopedia,"Terharu, biasanya pake produk apapun gue gak cocok (kulit abis rusak parah), kalopun cocok malah bikin kulit makin berminyak dan kusam. Tapi setelah coba produk ini alhamdulillah gak keluar jerawat baru, gak kusam juga gak makin berminyak. Mau nangis padahal harganya affordable :')",5
"Combination, Medium Dark, Warm",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"entah kenapa serum ini di aku agak kurang nampol yah, setelah beralih dari Azarine yg retinol, coba serum ini, so.. ini ringan dan lebih lembab, aku satuin sama ceratinol pelembabnya dan coba pake pelembab Hada Labo yg putih,tapi ini bisa jadi Recomendasi buat pemula yang baru coba retinol.",4
"Combination, Medium Light, Warm",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"Udah repurchase retinol serum ini 2x. Kadar retinolnya emang gak terlalu tinggi karna ada di urutan tengah kebawah, jadi ini termasuk serum retinol yg gentle banget. Emang cocok dipake buat pemula yg baru nyoba pake retinol. Trus serum ini cocok banget dikombinasiin sama HyaluC serum, bikin kulit alus lembab dan cerah.",5
"Combination, Light, Neutral",Usage Period : 6 months - 1 yearPurchase Point : Shopee,"First time nyari retinol cek review2 cari yg affordable dan cocok untuk pemula, the originote ini byk yg rekomen karna dia mild utk pemula. Tiap kali abs pake ini bsk paginya muka aku SMOOTH bgt gitu loh, suka bgt! Ga ada sensasi âtinglingâ nya karna mgkn mild banget ya, cuma walaupun mild tp dia efeknya ga main2 lho~ selain bikin muka lbh smooth, 2-3 hari kdpan muka aku jadi lebih mulus glowing gitu ð (tp harus dibarengi jg yah sama rajin exfo dan pake pelembab serta sunscreen esokan harinya kalau habis pakai retinol!) aku ikutin step skin cycling dan retinolnya aku pake ini. Repurchase? Maybe ya aku pengen cari merk lain hehe",5
"Oily, Medium, Neutral",Usage Period : 1 month - 3 monthsPurchase Point : Shopee,"jika kamu pemula dan ingin coba serum retinol, originote lah jawabannya karena komposisinya dia yang masih mild di kulit kita dan aku sudah mencoba sendiri progress selama 3 bulan pakai. setiap malam habis pemakaian wajah lebib cerah pori-pori lwbib kecil",5
"Combination, Medium, Neutral",Usage Period : Less than 1 weekPurchase Point : Shopee,"Bagus banget teksturenya cair, ga lengket pas dipake, langsung menyerap juga di kulit. Bagus banget kalo pas malem pake ini paginya muka langsung bersih, bekas jerawat juga udah lumayan pudar,muka lebih cerahan selama pake retinol originote",5
"Combination, Medium, Neutral",Usage Period : 3 months - 6 monthsPurchase Point : Shopee,"pertama kalinya cobain make retinol dan memutuskan untuk menggunak retinol dari the originote ini, menurut ku bagus si jujur aku pake ini udh 6 bulan lebih gaabis abis dia ga bikin efek purging atau yg gimana giman untuk kukit yg sensitif jdi menurut kuu ini sangatt pas sekalii untuk pertama kali nyobain retinol",4
